Chromosome	Start	Stop	Strand	Gene Symbol	CO09_D1	CO05_D1	CO25_D1X	CO35_D1	CO40_D1	CO13_D1B	CO19_D1	CO37_D1	CO01_D1	CO11_D1	CO17_D1	CO22_D1	CO30_D1B	CO10_D1
19	58856549	58864859	-	A1BG	0.180516	0.0534346	0.121921	0.216565	0.0582064	0.0762202	0.254326	0.169198	0.210614	0.445939	0.0286218	0.000170835	0.740724	0.300863
19	58863336	58866550	+	A1BG-AS1	1.1529	0.958196	0.664604	0.522382	0.377966	0.878552	0.528849	0.712234	1.11292	0.822735	0.447583	0.81832	0.67343	0.745846
12	9217773	9220652	+	A2M-AS1	4.12284	0.907725	5.09474	3.93343	0.245444	1.78692	0.938746	0.80983	3.24196	2.19259	1.67826	1.29005	1.34595	0.414274
22	43088118	43117308	-	A4GALT	6.08023e-05	0.021826	0.000104904	0.0290302	0.0357424	0.0382656	0.000164468	0.207691	0.085964	0.124527	0.0776207	1.21821	6.08023e-05	0.183018
12	53701244	53715395	-	AAAS	2.06342	1.66718	1.98527	1.82639	2.09544	1.27602	1.10463	1.29061	2.43901	1.5576	1.5452	1.27372	1.43201	1.73019
12	125549981	125627863	+	AACS	1.85765	1.90993	1.35809	1.58777	1.25551	1.25228	3.06418	2.25995	0.940471	1.16892	1.03533	1.22071	2.39656	1.59262
15	67493005	67547537	-	AAGAB	8.17036	7.01108	6.47778	12.8243	8.08021	7.00304	8.95183	11.1615	8.19679	7.49599	8.23372	5.78167	12.3228	5.10057
2	69685129	69870872	-	AAK1	58.9216	41.6758	43.4765	48.7773	39.6822	32.6991	42.1147	44.0543	64.5547	41.552	41.6739	39.8051	44.0148	93.1704
11	77532160	77611832	+	AAMDC	0.644582	0.200163	0.13815	0.63803	0.0659037	0.327333	0.0941703	0.399389	0.0935739	0.1839	0.100864	0.0866082	0.242686	0.00022311
2	219128852	219134861	-	AAMP	3.72728	2.53843	2.42349	3.8239	1.68575	2.65243	3.43685	2.47407	2.8028	2.16031	1.64407	1.6295	4.07608	1.86893
